SubjectID,StimID,Phase,svg_z_enc,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n_enc,mean_salience_relational_enc,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations_enc,n_aoi,aoi_prop_enc,mean_salience_enc,mean_meaning_enc,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question,prop_total,prop_relations,prop_objects,n_total_recalled,n_relations_recalled,n_objects_recalled,svg_z_enc_image_mean,svg_z_enc_within,svg_z_enc_within_sd,prop_total_image_sd,svg_z_enc_z,svg_z_enc_within_z,n_fixations_enc_z,mean_salience_enc_z,mean_meaning_enc_z,svg_z_enc_image_mean_z
Encode-Decode_Experiment-1-1,2387122,encoding,-0.330065,0.347826,0.387522,0.120266,23,8,False,0.316857,0.346243,16,13,33,29,0.8788,0.308556,0.847477,1.0,7463.0,1.0,1.0,What is the polar bear doing next to the enclosure edge?,1.0,5668.0,3.0,3.0,Where is the polar bear located in the scene?,2.0,2.0,,,,,0.6470588235294118,0.4,0.6666666666666666,11.0,2.0,8.0,0.95913252,-1.28919752,0.8077495096045205,0.1703801241070615,-1.150242353391932,-1.1123301682175448,-0.18620026395985498,1.4022803550848404,1.0819023937528018,-0.4381014897794693
Encode-Decode_Experiment-1-1,2374670,encoding,-0.476733,0.3,0.35995,0.125752,20,6,False,0.196744,0.192463,22,14,39,36,0.9231,0.212175,0.692295,0.0,6044.0,4.0,1.0,What vehicle sprays water in the scene?,1.0,9310.0,3.0,3.0,Where is the man standing relative to the vehicle?,3.0,1.0,,,,,0.21052631578947367,0.14285714285714285,0.2727272727272727,4.0,1.0,3.0,1.4215436399999999,-1.89827664,0.9526515902668666,0.18897085580323902,-1.2511425578409252,-1.6378486163195811,0.881778820114296,0.2106623918682977,-0.40367335897890416,0.08954062837841037
Encode-Decode_Experiment-1-1,2356991,encoding,2.017518,0.321429,0.158786,0.080615,28,9,False,0.148569,0.176891,13,20,37,33,0.8919,0.161358,0.713162,1.0,10953.0,1.0,1.0,How is the player on the left (from your perspective) reaching the base?,1.0,6687.0,2.0,2.0,What is the current action of the gloved player on the base?,4.0,2.0,,,,,0.6875,0.5714285714285714,0.5,11.0,4.0,5.0,0.9599711999999999,1.0575468,1.1299679288759703,0.23763702187720387,0.46477663276033615,0.9124600316807358,0.525785792089579,-0.4176196350537622,-0.20391108479599343,-0.4371444996195947
Encode-Decode_Experiment-1-1,2412687,encoding,2.830765,0.666667,0.3048,0.127834,15,10,False,0.144164,0.08408,17,9,29,26,0.8966,0.127853,0.444878,1.0,9147.0,3.0,3.0,What is the human's body position?,1.0,5930.0,4.0,4.0,What is the dog biting onto in the scene?,5.0,2.0,,,,,0.4666666666666667,0.5,0.4444444444444444,7.0,2.0,4.0,1.392583090909091,1.438181909090909,1.121179392943873,0.2673871939639434,1.0242496505115184,1.2408751180862652,-0.898186320009289,-0.8318626897800078,-2.7722257427194177,0.05649469845928904
Encode-Decode_Experiment-1-1,2360001,encoding,-0.770094,0.041667,0.092708,0.06628,24,1,False,0.315042,0.283575,2,35,38,37,0.9737,0.279301,0.511257,1.0,11249.0,4.0,4.0,What are the workers doing to the clock?,1.0,4944.0,4.0,4.0,Where are the men standing?,6.0,2.0,,,,,0.45,0.42857142857142855,0.5454545454545454,9.0,3.0,6.0,1.4038728,-2.1739668,1.2583315202774465,0.20068632240389478,-1.452960165481045,-1.8757163420104603,0.7037823061019375,1.0405826811252432,-2.1367716765868905,0.06937701413135482
Encode-Decode_Experiment-1-1,2397102,encoding,3.190341,0.571429,0.227286,0.10787,21,12,False,0.137035,0.164877,24,11,35,35,1.0,0.145785,0.651093,1.0,4439.0,1.0,1.0,What are the couple doing with the cake?,1.0,4350.0,3.0,3.0,What is the man holding besides the cake knife?,7.0,2.0,,,,,0.5714285714285714,0.6,0.47368421052631576,12.0,3.0,9.0,2.27765524,0.91268576,1.2432531819164083,0.23108201096190967,1.2716198465662214,0.7874727411440859,0.16979276406486202,-0.6101582738017647,-0.7981050080364732,1.066421413605919
Encode-Decode_Experiment-1-1,150472,encoding,1.668758,0.35,0.19075,0.09543,20,7,False,0.0896,0.086865,13,17,30,30,1.0,0.08805,0.746166,1.0,3118.0,4.0,4.0,How many women are in the scene?,1.0,3643.0,2.0,2.0,Where is the pizza slice located?,8.0,2.0,,,,,0.5,0.5,0.5,8.0,2.0,5.0,1.150756347826087,0.518001652173913,1.4947937518299248,0.18270380898651734,0.22484730050223709,0.44693606368368965,-0.7201898059969305,-1.3239718169929235,0.11204013469568253,-0.2194458432550575
Encode-Decode_Experiment-1-1,2379478,encoding,3.182431,0.866667,0.396667,0.147686,15,13,False,0.395444,,34,0,35,34,0.9714,0.406243,0.866662,1.0,4689.0,4.0,4.0,What is the position of the babies?,1.0,2082.0,2.0,2.0,How many babies are visible in the scene?,9.0,2.0,,,,,0.5625,0.8,0.5,9.0,4.0,5.0,2.318576956521739,0.8638540434782609,1.1559328518651655,0.2577925144752665,1.2661781645552064,0.7453403365975914,0.16979276406486202,2.610045204720499,1.265562681776914,1.1131158382213704
Encode-Decode_Experiment-1-1,2369373,encoding,1.123483,0.6,0.46848,0.117064,25,15,False,0.238755,0.215394,30,10,40,40,1.0,0.232915,0.737717,1.0,6485.0,3.0,3.0,What tool is the chef using?,1.0,4938.0,3.0,3.0,What is the appearance of the oven?,10.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0857792916666666,0.03770370833333336,1.1744307155537281,0.30599341805477037,-0.15027446416984389,0.03253106803435517,1.0597753341266545,0.46708385000954034,0.031156852260669186,-0.29358902463793607
Encode-Decode_Experiment-1-1,2347025,encoding,0.098753,0.473684,0.460684,0.131642,19,9,False,0.098077,0.100803,26,11,39,37,0.9487,0.101181,0.746239,1.0,4866.0,1.0,1.0,Where is the baby in relation to the mother?,1.0,5607.0,2.0,2.0,Who is holding the umbrella in the scene?,11.0,2.0,,,,,0.4,0.5,0.3333333333333333,6.0,2.0,4.0,0.86848204,-0.76972904,1.3737290961395456,0.16966197330334568,-0.8552371452251307,-0.6641285134842092,0.881778820114296,-1.1616251358524872,0.1127389723827171,-0.541539770587311
