source_file,SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-1-1_decoding.csv,Encode-Decode_Experiment-1-1,2347400,wine,Which description best matches the image?,two men smelling red wine sitting on a couch. there is a pokemon ball in the background,31252,18
Encode-Decode_Experiment-10-1_decoding.csv,Encode-Decode_Experiment-10-1,2347400,wine,Which description best matches the image?,2 men sat on a sofa smelling red wine,13440,26
Encode-Decode_Experiment-11-1_decoding.csv,Encode-Decode_Experiment-11-1,2347400,wine,Which description best matches the image?,two men smelling a glass of red wine each,11968,29
Encode-Decode_Experiment-12-1_decoding.csv,Encode-Decode_Experiment-12-1,2347400,wine,Which description best matches the image?,two men sitting on a sofa smelling their glasses of red wine,14081,14
Encode-Decode_Experiment-13-1_decoding.csv,Encode-Decode_Experiment-13-1,2347400,wine,Which description best matches the image?,two men on sofa sniffing red wine,10157,4
Encode-Decode_Experiment-14-1_decoding.csv,Encode-Decode_Experiment-14-1,2347400,wine,Which description best matches the image?,two men are sat on the couch and both have a glass of red wine that they are smelling,29826,30
Encode-Decode_Experiment-15-1_decoding.csv,Encode-Decode_Experiment-15-1,2347400,wine,Which description best matches the image?,"two men sat on couch inside holding wine glasses and appearing to sniff them, red wine",17882,19
Encode-Decode_Experiment-16-1_decoding.csv,Encode-Decode_Experiment-16-1,2347400,wine,Which description best matches the image?,"two men on couches smelling wine , window behind them",46588,20
Encode-Decode_Experiment-17-1_decoding.csv,Encode-Decode_Experiment-17-1,2347400,wine,Which description best matches the image?,Teo men sat on a sofa smelling red wine. There was a toad plushie in the background.,24969,15
Encode-Decode_Experiment-18-1_decoding.csv,Encode-Decode_Experiment-18-1,2347400,wine,Which description best matches the image?,"two individuals are sitting on a coach smelling wine, they are in a living room, the sofa is greyish, they are wearing t shirts and jeans, the wine is red, there is a mario mushroom plushy behind them",25950,20
Encode-Decode_Experiment-19-1_decoding.csv,Encode-Decode_Experiment-19-1,2347400,wine,Which description best matches the image?,two guys sat on a couch smelling wine,9211,7
Encode-Decode_Experiment-2-1_decoding.csv,Encode-Decode_Experiment-2-1,2347400,wine,Which description best matches the image?,two men were sitting on a couch and dringking one the one the right was smelling the wine the other man was talking about something and the guy on the left was blonde,51094,11
Encode-Decode_Experiment-3-1_decoding.csv,Encode-Decode_Experiment-3-1,2347400,wine,Which description best matches the image?,two boys smell red wine sat in casual clothes on cpuch in living room,12323,26
Encode-Decode_Experiment-4-1_decoding.csv,Encode-Decode_Experiment-4-1,2347400,wine,Which description best matches the image?,"two men sat on a sofa are smelling red wine, one has a blue shirt with a face on it and the other is wearing grey, men have short hair",49913,10
Encode-Decode_Experiment-5-1_decoding.csv,Encode-Decode_Experiment-5-1,2347400,wine,Which description best matches the image?,"two men sat on a couch dwith two glasses of red wine on on each hand, they were holding the glasses up to their noses and smelling it. the couch was brown and the man on the right was squinting his eyes as he smelled the wine, and the man on the left had his wine glass held lower to around his mouth area",75047,12
Encode-Decode_Experiment-6-1_decoding.csv,Encode-Decode_Experiment-6-1,2347400,wine,Which description best matches the image?,two men on a couch sniffing two glasses of wine.,20320,21
Encode-Decode_Experiment-7-1_decoding.csv,Encode-Decode_Experiment-7-1,2347400,wine,Which description best matches the image?,two men sat on a sofa smelling a glass of red wine,33698,1
Encode-Decode_Experiment-8-1_decoding.csv,Encode-Decode_Experiment-8-1,2347400,wine,Which description best matches the image?,"2 men sat on a sofa , each sniffing a glass of red wine",18373,8
