SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,Salience,ImgX,ImgY,ObjectID,ObjectName,AssignmentMethod,ProximityDist_px,SalienceAtFixation,MeaningAtFixation
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,4,396,392,967.0,571.3,0.0436,515.73,406.26,11.0,couple smiling and celebrating together.,polygon,,0.042705,0.356238
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,440,518,78,682.6,353.6,0.0511,364.05,251.45,18.0,"woman in a pink dress, smiling and cutting the cake with a man.",polygon,,0.049071,0.601465
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,568,828,260,988.5,943.9,0.3169,527.2,671.22,29.0,"decorative cake being cut, frosted with sprinkles and candles.",polygon,,0.309849,0.867608
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,854,1244,390,1095.8,970.8,0.2274,584.43,690.35,19.0,writing on the cake indicating celebration.,polygon,,0.219466,0.873991
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,1262,1552,290,1054.2,968.4,0.2364,562.24,688.64,29.0,"decorative cake being cut, frosted with sprinkles and candles.",polygon,,0.222593,0.894135
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,1574,1980,406,1101.5,987.6,0.2665,587.47,702.29,19.0,writing on the cake indicating celebration.,polygon,,0.260412,0.898429
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,2004,2208,204,1047.1,982.5,0.2828,558.45,698.67,29.0,"decorative cake being cut, frosted with sprinkles and candles.",polygon,,0.273414,0.92052
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,2252,2384,132,1055.5,341.9,0.2303,562.93,243.13,11.0,couple smiling and celebrating together.,polygon,,0.225233,0.592025
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,2424,2604,180,1063.3,228.6,0.0429,567.09,162.56,31.0,head of the man with a beard and mustache.,polygon,,0.036719,0.6645
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,2660,2854,194,566.9,230.3,0.0412,302.35,163.77,18.0,"woman in a pink dress, smiling and cutting the cake with a man.",polygon,,0.039969,0.662359
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,2900,3030,130,515.4,498.4,0.0276,274.88,354.42,18.0,"woman in a pink dress, smiling and cutting the cake with a man.",polygon,,0.027707,0.448981
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,3092,3458,366,999.9,929.1,0.2395,533.28,660.69,29.0,"decorative cake being cut, frosted with sprinkles and candles.",polygon,,0.232213,0.834534
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,3490,3820,330,1079.4,958.9,0.2362,575.68,681.88,29.0,"decorative cake being cut, frosted with sprinkles and candles.",polygon,,0.230381,0.86238
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,3838,4084,246,1029.4,951.0,0.2776,549.01,676.27,29.0,"decorative cake being cut, frosted with sprinkles and candles.",polygon,,0.276184,0.872467
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,4142,4290,148,848.1,254.9,0.0853,452.32,181.26,11.0,couple smiling and celebrating together.,polygon,,0.082273,0.593954
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,4324,4718,394,1046.9,192.4,0.0348,558.35,136.82,31.0,head of the man with a beard and mustache.,polygon,,0.033675,0.659188
